#{"t_start": 1738749049.8012466, "env_id": "None"}
r,l,t
1321.088395,7,20.76087
1319.97601,7,20.912009
1274.381694,7,21.045947
1346.526755,7,21.179706
1306.885215,7,21.292555
1337.062871,7,21.591675
1328.5267,7,21.723625
1355.329555,7,21.849882
1303.424971,7,22.00699
1317.493759,7,22.149444
1314.100249,7,22.302054
1305.056643,7,22.446994
1354.976233,7,22.578362
1312.168998,7,22.735669
1338.539823,7,23.324316
1294.241254,7,23.462246
1326.538513,7,23.641132
1310.163722,7,23.799216
1321.17058,7,23.935943
1300.730174,7,24.085989
1321.029993,7,24.22719
1290.504359,7,24.386814
1300.770642,7,24.523374
1304.243128,7,24.67341
1389.759345,7,24.820542
1348.08857,7,24.994672
1306.688055,7,25.152136
1273.608436,7,25.291258
1295.942291,7,25.425444
1300.241921,7,25.554254
1315.262237,7,25.71212
1339.35576,7,25.864774
1304.275899,7,25.999441
1281.81024,7,26.127914
1326.917297,7,26.255052
1309.449718,7,26.382774
1318.68082,7,26.509085
1312.16023,7,26.643039
1341.069823,7,26.773093
1284.899555,7,26.90419
1310.727485,7,27.048609
1294.583758,7,27.203461
1315.289331,7,27.353002
1351.318998,7,27.487689
1280.986782,7,27.620191
1320.548851,7,27.774929
1311.993296,7,27.899651
1292.821512,7,28.064762
1346.342081,7,28.237691
1353.924649,7,28.396921
1268.595127,7,28.552236
1350.449216,7,28.720957
1298.07162,7,28.873207
1318.004069,7,29.011527
1300.790695,7,29.173645
1289.090939,7,29.309764
1296.137353,7,29.454663
1319.265149,7,29.587326
1285.377535,7,29.729568
1305.331537,7,29.87109
1310.531444,7,30.012838
1359.354715,7,30.149714
1318.847834,7,30.295208
1316.714174,7,30.42782
1280.804567,7,30.561464
1278.004563,7,30.685325
1282.785995,7,30.802074
1317.803607,7,30.933353
1305.938697,7,31.283792
1319.212503,7,31.40565
1289.411335,7,31.531026
1312.49018,7,31.693467
1316.070582,7,31.842642
1279.32635,7,31.970726
1298.09035,7,32.117114
1332.011111,7,32.29001
1290.484247,7,32.490301
1282.814521,7,32.655722
1306.906041,7,32.811484
1311.925877,7,32.967832
1311.028341,7,33.113099
1354.474147,7,33.251305
1296.855764,7,33.394889
1283.715563,7,33.540701
1349.819501,7,33.690489
1322.096865,7,33.85651
1312.712634,7,34.006801
1306.610391,7,34.155757
1321.303641,7,34.316163
1296.863294,7,34.469466
1279.999754,7,34.610092
1273.947682,7,34.75291
1282.270087,7,34.893023
1317.683234,7,35.035475
1306.083381,7,35.183335
1327.531746,7,35.360325
1324.4803,7,35.489982
1285.576896,7,35.645861
1298.069445,7,35.809293
1297.305091,7,35.924092
1313.277184,7,36.047453
1324.93023,7,36.195765
1323.140271,7,36.334323
1281.737095,7,36.463928
1340.087449,7,36.580085
1313.391661,7,36.709247
1271.370211,7,36.831566
1280.354841,7,36.952754
1322.857246,7,37.071892
1295.931533,7,37.19454
1292.510479,7,37.32279
1295.665014,7,37.487689
1328.460031,7,37.660864
1305.842001,7,37.789397
1288.093027,7,37.929564
1286.074351,7,38.096102
1298.391657,7,38.252147
1307.930281,7,38.409714
1298.623751,7,38.530289
1343.311437,7,38.669397
1300.080828,7,38.825284
1292.452332,7,39.010375
1282.903957,7,39.155262
1361.734687,7,39.291218
1261.56456,7,39.436642
1306.190177,7,39.584078
1301.603307,7,39.727889
1289.371608,7,39.868166
1280.091787,7,40.001006
1302.398247,7,40.137942
1295.797605,7,40.25317
1281.379724,7,40.368332
1267.897823,7,40.498097
1318.648441,7,40.644488
1303.221792,7,40.784976
1275.454968,7,40.922847
1283.72788,7,41.060284
1280.143843,7,41.193658
1273.353048,7,41.338289
1334.03468,7,41.471574
1308.389251,7,41.613977
1296.700876,7,41.758411
1338.027136,7,41.892002
1308.580333,7,42.026596
1294.554351,7,42.155235
1283.77626,7,42.263783
1273.99433,7,42.380145
1306.041932,7,42.504244
1314.386871,7,42.645871
1300.114064,7,42.81021
1305.093209,7,43.025905
1326.420567,7,43.197793
1289.757997,7,43.345877
1328.730426,7,43.487119
1295.458162,7,43.626621
1336.435301,7,43.760668
1302.221048,7,43.872827
1311.454955,7,43.983348
1311.652641,7,44.105701
1313.190726,7,44.228715
1301.020528,7,44.895586
1317.706602,7,45.024799
1299.845086,7,45.146974
1310.760259,7,45.268188
1332.476757,7,45.382716
1324.973061,7,45.496237
1301.540122,7,45.614311
1301.537339,7,45.740698
1307.372367,7,46.146441
1345.700973,7,46.258628
1318.912841,7,46.37472
1281.750078,7,46.48824
1331.575561,7,46.607869
1294.461434,7,46.722471
1303.029721,7,46.854636
1282.555669,7,46.974539
1278.804722,7,47.109581
1303.832448,7,47.268629
1279.864546,7,47.41158
1310.457993,7,47.545843
1298.010355,7,47.685691
1289.009864,7,47.798814
1332.900213,7,47.910094
1286.45914,7,48.018643
1298.563055,7,48.127742
1287.627649,7,48.236388
1317.913972,7,48.351739
1308.107805,7,48.49378
1281.700374,7,48.619966
1285.973111,7,48.762052
1298.458332,7,48.897083
1341.429471,7,49.040614
1286.398167,7,49.40726
1311.829027,7,49.697705
1290.67516,7,49.876075
1267.952966,7,50.017592
1295.652457,7,50.167191
1289.452956,7,50.336101
1297.500362,7,50.501148
1293.853148,7,50.65571
1276.919701,7,50.778579
1290.5365,7,50.90291
1276.507298,7,51.049964
1277.479282,7,51.183068
1279.721919,7,51.344442
1289.398684,7,51.513522
1358.189017,7,51.644031
1292.007892,7,51.770114
1308.842076,7,51.982933
1287.332088,7,52.145142
1303.127721,7,52.314156
1321.677188,7,52.519288
1281.171592,7,52.699719
1302.089225,7,52.876842
1279.584283,7,53.057789
1295.488827,7,53.261347
1321.124966,7,53.444382
1310.843586,7,53.614964
1311.910653,7,53.773657
1301.941273,7,53.953681
1315.578718,7,54.115899
1278.540756,7,54.289401
1341.784222,7,54.466013
1308.543988,7,54.615748
1273.306472,7,54.766031
1288.662554,7,54.918675
1283.626452,7,55.082589
1319.493474,7,55.220363
1305.653878,7,55.355468
1316.807751,7,55.502597
1322.899407,7,55.680952
1284.019256,7,55.848531
1311.099218,7,56.002803
1353.995917,7,56.143047
1327.397359,7,56.29125
1287.11378,7,56.435033
1334.052094,7,56.593429
1322.13846,7,56.745764
1321.109763,7,56.895142
1273.730471,7,57.039089
1318.674537,7,57.179878
1291.221107,7,57.315959
1349.0569,7,57.443473
1310.394075,7,57.577509
1286.798179,7,57.715331
1339.359316,7,57.867727
1291.587583,7,58.008105
1328.222377,7,58.165279
1311.226708,7,58.305929
1325.145152,7,58.453866
1292.490701,7,58.578851
1304.465998,7,58.719436
1357.223457,7,58.881505
1309.574959,7,59.018982
1262.080898,7,59.162517
1288.47864,7,59.282758
1281.291033,7,59.43537
1302.823476,7,59.5798
1317.805488,7,59.728313
1325.543327,7,59.869725
1318.485373,7,60.007255
1278.641871,7,60.136565
1329.465952,7,60.261464
1300.340446,7,60.388424
1346.102051,7,60.515096
1346.720862,7,60.656451
1310.52041,7,60.813947
1321.24514,7,60.940604
1339.279301,7,61.334551
1327.195724,7,61.482056
1335.529751,7,61.632024
1339.935945,7,61.751745
1285.738121,7,61.876048
1324.663821,7,61.991757
1299.517615,7,62.190933
1284.886243,7,62.360384
1285.617716,7,62.510066
1311.731023,7,62.677771
1317.157742,7,62.830994
1310.525615,7,62.975873
1304.985433,7,63.115062
1353.692938,7,63.270758
1341.463225,7,63.418154
1317.8526,7,63.56169
1341.992081,7,63.701263
1309.267848,7,63.842511
1280.60854,7,63.977036
